input_word,target_word
არათოვი,ბარათოვი
პროვინციებთან,პროვინციებთან
გაოსჭრა,გამოსჭრა
მორეუ,მორეუ
სარგეებბლით,სარგებლით
წარმოოდგენთ,წარმოიდგენთ
თანადოგმიათ,თანადგომითა
ბრინჯაო,ბრინჯაო
ომზირის,მოზირის
ადამიანსთვის,ადამიანისთვის
ჰიდრომინერაური,ჰიდრომინერალური
ხაჩოვი,ხაჩკოვი
კოროდინატების,კოორდინატების
შევხებივარ,შევხებივარ
ჭიხარულა,ჭიხარულა
კერამიიკოსი,კერამიკოსი
პალმდელში,პალმდეილში
ცხოვრებისას,ცხოვრებისას
რესპუბლიკელეს,რესპუბლიკელებს
ბააღდათი,ბაღდათი
შირაკი,შირაკი
აღაპიტე,აღაპიტე
მაებრეშუმების,მეაბრეშუმეობის
იუნიქხის,იუნიქსის
ილაშქარ,ილაშქრა
ქროატიული,ქრომატიული
პარაშეგის,პარაშეგის
ნავები,ნავები
საამები,საამები
ჯერსიში,ჯერსიში
კუდაყყე,კუდატყე
მებძორებთ,მებძოლებით
უდსონმა,ჰუდსონმა
ახოვანი,ახოვანი
სიას,სინას
კკრიოზი,კრიოზი
მჭედელა,მჭედელმა
ოცდამეშვიდრ,ოცდამეშვიდე
სანურ,სვანურ
უპათრონო,უპატრონო
გაუთამმადენ,გაუთამამდნენ
დიცსიპლინებისაგწნ,დისციპლინებისაგან
იდვნია,იწვნია
მთეაუროიბთ,მეთაურობით
გმირის,გმირის
გაარდამოხსნის,გარდამოხსნის
კოაინს,კოკაინს
გადაეკთებულია,გადაკეთებულია
გდაადგამ,გადადგამ
სხუიშვილი,სუხიშვილი
მაემატიკისა,მათემატიკისა
იუხერხულა,იუხერხულა
ბენარის,ბენარის
ქორაელბშიი,ქორალებში
ანდოილი,დანდობილი
წამების,წამების
დახევაას,დახევას
ვღაიზიანებდით,ვაღიზიანებდით
მოვთათბირე,მოვითათბირე
ბოსი,ბოში
ქურრთზ,ქურთა
ფინტიურ,ფინიტურ
ხხალხს,ხალხს
აფფრო,აფრო
შეკეთებისას,შეკეთებისას
ისტორიქსტაან,ისტორიასტან
სახიმროოდ,სახუმროდ
მესხეთიშ,მესხეთის
კკორსიკა,კორსიკა
ღეგმას,გეგმას
ოყლადქებულთა,ყოვლადქებულთა
ახალციხის,ახალციხის
მეყვავილეეობა,მეყვავილეობა
კამათელზეა,კამათელზეა
დამივრთხოს,დამიფრთხოს
იორკთაუნისა,იორკთაუნისა
გრაფი,გრაფი
ჩამოვარდნილ,ჩამოვარდნილ
იპლუმენი,ფილუმენი
გააწნო,გააცნო
ციკლი,ციკლი
კატორღამდე,კატორღამდე
უხეშსა,უხეშსა
სედრიკ,სედრიკ
მოგზაულლა,მოგზაურმა
ფუძემდებლად,ფუძემდებლად
ბექა,ბექა
კახეთსა,კახეთსა
დააკაშვილს,სააკაშვილს
მოსაშთობად,მოსაშთობად
გვაცნობბე,გვაცნობე
ავსა,ზავსა
ჯრილობბათა,ჯრილობათა
მიმოპნეულ,მიმოპნეულ
ამოცანის,ამოცანის
ბალლანის,ბალაანის
მეგატონს,მეგატონას
გაჟონასვ,გაჟონავს
ერქომაიშვილები,ერქომაიშვილები
შპრინგერს,შპრინგერს
გრეისოლონმა,გრეისოლონმა
მრავალცენტრიანი,მრავალცენტრიანი
მოეთხოვა,მოეთხოვა
ისტორიკოსებისაგან,ისტორიკოსებისაგან
ანდალუზიამდეე,ანდალუზიამდე
ემა,ჯემა
ყეც,ტყეც
სივრცე,სივრცეს
კამდენთან,კამდენთან
გორისციხე,გორისციხე
დდედაქალაქადაც,დედაქალაქადაც
გართულს,გართულს
უეშმაქო,უეშმაკო
ონომასტიკური,ონომასტიკური
ჩეპიონატსწც,ჩეპიონატსაც
დაგზანვას,დაგზავნას
ასაად,ასად
ნოკოო,ნოკო
ატნერიი,ანტერი
ფანატიკოია,ფანატიკოსია
დააყრაა,დააყარა
გადასცემდა,გადასცემდა
მივაყენე,მივაყენე
მოკაშვლრეები,მოკავშირეები
პოვი,პროვი
ლაგრისი,ჯაგრისი
კალაბრიის,კალაბრიის
ერისსე,ელისეს
ზურგისს,ზურგისა
კამპანიები,კამპანიები
გამოსძახეს,გამოსძახეს
სელლა,სელა
თავყრიილობის,თავყრილობის
პაპერტუ,პაპერტი
რზან,რაზან
მიერთების,მიერთების
დაასაწყისიდან,დასაწყისიდან
მაიენლ,მაიენი
ღვინოებაად,ღვინოებად
რუჩევდნენ,ურჩევდნენ
მოწყობილია,მოწყობილია
გოგშიწ,გორშიც
დაწბიემბა,დაწვიმება
ეღვძა,ეღვიძა
ცრილი,ცხრილი
სკეიტბორდინგის,სკეიტბორდინგის
ორრმოცმა,ორმოცმა
მმოიტათნ,მომიტანთ
ოთხშაბათის,ოთხშაბათის
გავაჭენეთ,გავაჭენეთ
აგმაღვიძა,გამაღვიძა
სსაგაობელზე,საგალობელზე
პოლიტკომისად,პოლიტკომისრად
ქალევო,ქალებო
ტეზუ,ტეჟუ
დაეეგინდა,დაედგინდა
სუუფსის,სუფსის
გადაეყარა,გადაეყარა
სამმსახიობო,სამსახიობო
ჩახდნენ,ჩასხდნენ
პრესქ,პრესა
პერილდამდე,პერიოდამდე
კკაჩიშვილი,კაკაჩიშვილი
დაბეგვლები,დაბეგვილები
დვედეს,დევდეს
რაფა,არფა
ნანოსი,ნანოსი
რაზმი,რაზმი
მოვიოქმედებდი,მოვიმოქმედებდი
მორდოვეთის,მორდოვეთის
დათმობაზე,დათმობაზე
დაგრჩაო,დაგჭრაო
ნახევარია,ნახევარია
მეშვიდე,მეშვიდე
იოლკისგან,იორკისგან
ღარიბაშვილმა,ღარიბაშვილმა
სუბტროპიკულ,სუბტროპიკულ
სიგელს,სიგელს
ეკლეისისა,ეკლეისისა
დედწშენს,დედაშენს
მუსკიასთფისაც,მუსკიასთვისაც
იროდი,იროდი
ხხელვაჩაურსი,ხელვაჩაურის
ფილარმონიისა,ფილარმონიისა
პარლამეტნარი,პარლამენტარი
დმგომარეობებში,მდგომარეობებში
ლექსიკოგრაფი,ლექსიკოგრაფი
განმგერძო,განმეგრძო
გვინესა,გვინეასა
გამეორებამ,გამეორებამ
წყალბურთეჯი,წყალბურთელი
მოირბინა,მოირბინა
ბონსტის,ბონისტის
კენჭაკლე,კენჭაკლდე
მეორიდაან,მეორიდან
გასილიდე,ბასილიდე
ეიდო,დიდო
ზოლას,ზოლას
გაუხსნეიი,გაუხსნელი
სავრაძელი,სავარძელი
ქიმიუმა,ქიმიურმა
მებოცვეობა,მებოცვრეობა
ვორარლბერგი,ვორარლბერგი
წწინასწაფ,წინასწარ
რომლისაგანც,რომლისაგანაც
ალაიარვი,ალაიარვი
ღადეაცა,გადაეცა
ლააგოდეხიშ,ლაგოდეხის
აარიდდა,აარიდა
დაჯილოდებულები,დაჯილდოებულები
ნშინითვე,ნიშნითვე
ვეტეეან,ვეტერან
ელემმენტებმა,ელემენტებმა
სასტითკა,სასტიკთა
სახედრის,სახედრის
ათდღიანი,ათდღიანი
რეგიონლაურ,რეგიონალურ
პადანო,პადანო
გუდუსვის,გუდუსთვის
მეთოდიკას,მეთოდიკას
ძეგლებისა,ძეგლებისა
დისციპლნიებს,დისციპლინებს
გამომგზავნეს,გამომგზავნეს
წამოვიდოდა,წამოვიდოდა
სინთლეს,სინათლეს
არზა,არაზ
ვიყოდე,ვიტყოდე
გრძნობისმიერი,გრძნობისმიერი
მჭევრმეტყველებას,მჭევრმეტყველებას
გადამწერი,გადამწერი
ნახვერად,ნახევრად
დავავალეტ,დავავალეთ
მმეომრამდე,მეომრამდე
ზანჰად,ზანტად
მმიმოთესვისათვის,მიმოთესვისათვის
ჟურნალისტთა,ჟურნალისტთა
სელჩუკების,სელჩუკების
სანეევი,სანეევი
გდავჰბანე,გადავიბანე
სალვიენმა,სალივენმა
სახელმძღვანელეობში,სახელმძღვანელოებში
მუხტ,მუხტი
დაკარგგავ,დაკარგავ
თუხთუხებდა,თუხთუხებდა
ანნგარიში,ანგარიში
ქანრის,ქანთრის
მუზზემუმა,მუზეუმმა
გაფუძელით,გავუძელით
მიედნნება,მიედინება
ტორე,ტორე
წესება,წესდება
დავარქმევიდ,დავარქმევდი
ღვწწლმოსილ,ღვაწლმოსილი
მმეზსავით,მზესავით
წიწივან,წიწვიან
ბატნობის,ბატონობის
ლაუდრუპები,ლაუდრუპები
ასლულებულა,ასრულებულა
სინდრომიშ,სინდრომში
დდოფლისწაროში,დედოფლისწაროში
პარრამენტები,პარლამენტები
ღცესმოდა,გვესმოდა
მივჩერენივარ,მივჩერებივარ
გლეოხბა,გლეხობა
რბპია,რუპია
ლამსიყანის,ლამისყანის
სერვის,სერვის
შობადოამ,შობადობამ
ნე,ზნე
ნაკაარნახევი,ნაკარნახევი
კიოვი,კიოვი
ქვესისტემებს,ქვესისტემებს
ციმბირისკსნ,ციმბირისკენ
გვახაია,გვახარია
გაწწევას,გაწვევას
მებოსტნეობმ,მებოსტნეობამ
ნოქცა,მოექცა
კოოწია,კოწია
მიბაძვას,მიბაძავს
ამიცახცახდა,ამიცახცახდა
პდესიდან,ოდესიდან
საყვირრებს,საყვირებს
გგამომიძახეს,გამომიძახეს
იაჯნინგი,იანჯინგი
კონჩიტა,კონჩიტა
მსციიებოდა,მისციებოდა
საი,საგი
არქიტექტორთა,არქიტექტორთა
აზრწივიც,არწივიც
მოასმი,მონასმი
გავათავისჯფლებ,გავათავისუფლებ
კვიშილაძფა,კვიშილაძეა
ნათურას,ნათურას
მრჩება,მრჩება
ახლავვმ,ახლავმ
დყვანაა,დაყვანაა
კანტატდან,კანტატიდან
გაიხადე,გაიხადე
იკშიიოვის,კიშინიოვის
ასაყვანია,ასაყვანია
ჯავახეეთ,ჯავახეთ
ოლდუორთ,ოლდუორთ
ჩეხეთთან,ჩეხეთთან
ავტონომუირ,ავტონომიურ
ჩამოუის,ჩამოუდის
უფროსისადმი,უფროსისადმი
ლოგია,ლოგია
კაკვასიონისა,კავკასიონისა
დაგვირგვნდა,დაგვირგვინდა
უნივერსლაური,უნივერსალური
ჩაიცივთ,ჩაიცვით
ჭელიძე,ჭელიძე
გაჭაინურდა,გაჭიანურდა
ძალადობენ,ძალადობენ
ყავდეთ,ყავდეთ
ლექესბში,ლექსებში
ჭანაფრ,ჭანდარ
მაჟორრში,მაჟორში
ლოზუნგების,ლოზუნგების
შეემოღებული,შემოღებული
სარინი,საფინი
ოეაყენო,შეაყენო
გააანლაიზეს,გააანალიზეს
ბერშუეთი,ბერშუეთი
სიწრფელით,სიწრფელით
დდინასტიათა,დინასტიათა
თუთაშხიასთან,თუთაშხიასთან
ასმივეს,სამივეს
წნეა,ენეა
თუბშეს,თუშებს
რთმეტი,თერთმეტი
ოდვააო,ცოდვააო
აგიკეეთ,გაგიკეთე
მიახოლებუი,მიახლოებული
ნირი,ნირი
დამაინტრესეთთ,დამაინტერესეთ
თანხმოვნები,თანხმოვნების
ჩეულ,რჩეულ
ჰგუნებოდ,უგუნებოდ
ნაპირიდან,ნაპირიდან
ნევილი,ნევილი
მაიკრო,მაიკრო
ვულაპარაკო,ვილაპარაკო
ვაუნატუმაც,ვანუატუმაც
მოოსულებს,მოსულებს
ანალოგიები,ანალოგიები
ასტოჯი,ასტონი
ვარაუდმა,ვარაუდმა
ამოუწია,ამოუწია
გახსოვდეს,გახსოვდეს
გაიცანი,გაიცანი
შიაბნ,შიგან
თვრმაეტი,თვრამეტი
ავედეფნე,ავედევნე
დეეფი,დეფი
იბნროდა,იბნეოდა
წუწუნის,წუწუნის
კინკლაობის,კინკლაობის
ეავნზმა,ევანზმა
დაჰწყებ,დაიწყებ
მაგოასთნა,მაგიასთან
იყოტ,იყოთ
გზთში,გაზეთში
შუალედური,შუალედური
დაარდვია,დაარდვია
ვიცოეთდო,ვიცოდეთო
მააათი,მაათაი
აკადემიების,აკადემიების
დენარები,დენარები
ჰაიმორიი,ჰაიმორი
ფორმისგან,ფორმისგან
ამოცურუულია,ამოწურულია
თააიმ,თაიმ
კორპუსკულარულ,კორპუსკულარულ
იპოვიან,იპოვიან
სისტემატიკოსი,სისტემატიკოსი
დაუქვემდებარდა,დაუქვემდებარდა
ბოსლის,ბოსლის
ნკერწკალი,ნაკერწკალი
ფლორენტი,ფლორენტი
გამშეტყუებინა,გამოეტყუებინა
ზომქვდნენ,ზომავდნენ
კუნძულებსსა,კუნძულებსა
ბარდავეჯიძს,ბარდაველიძე
მტიანირი,მიტანილი
მენფისში,მემფისში
ჩათვლიმა,ჩათვლიმა
მაგალი,მაგალი
ქროეპისკოპოსი,ქორეპისკოპოსი
სარჩმიელიამ,სარჩიმელიამ
აბრიკოზე,აბრიკოზე
კონკოედმა,კონკორდმა
ისურვბეთ,ისურვებთ
დამთავრებლა,დამთავრებულა
გუბერნიაში,გუბერნიაში
დიიუვალიე,დიუვალიე
კირკკიტები,კირკიტები
ვებგვეფდზე,ვებგვერდზე
ქცვვეა,ქცევა
ბისმე,ვისმე
კროატო,კროატო
აქტოებს,აქტობეს
იმერიები,იმპერიები
ნეისეი,ენისეი
კლიიან,კილიან
იძძულებუმები,იძულებულები
მომაწოდქ,მომაწოდა
გამოსულიიყვნენ,გამოსულიყვნენ
ენციკლოპეედიურ,ენციკლოპედიურ
სრაფვას,სწრაფვას
ევქს,ექვს
კმიიაში,ქიმიაში
ნაჩხუბრები,ნაჩხუბრები
განედგილი,განდეგილი
სდიოად,სდიოდა
მოვლენების,მოვლენების
გალიამმ,გალიამ
ყივჩაების,ყივჩაღების
ჯავრიშვილი,ჯავრიშვილი
ხარად,ხარად
მულზი,მულუზი
ესკულაპოს,ესკულაპის
გაშრა,გაშრა
მხნფ,მხნე
შეუჭმელ,შეუჭმელი
შევხვდი,შევხვდი
აზარტუულად,აზარტულად
ვაამიამ,ვარამიამ
ეკიკენეი,ეკიკენი
საუწხარს,საწუხარს
ეთნოლოგი,ეთნოლოგი
ტიმოთესუბნის,ტიმოთესუბნის
აწერთვა,წაერთვა
მუმატეს,მოუმატეს
ანაოტმიური,ანატომიური
იმთრაიზმის,მითრაიზმის
ნუმა,ნუმა
ევრშპაშშია,ევროპაშია
საგარეჯოელმა,საგარეჯოელმა
გჯირაგისა,ჯგირაგისა
წინდებულიანი,წინდებულიანი
კლარუტას,კლარიტას
მოსასლელად,მოსასვლელად
გადაჭილია,გადაჭრილია
ყაჩაგობა,ყაჩაღობა
გადარჩნნენ,გადარჩნენ
მძარრცველი,მძარცველი
გაომმჟღავნებას,გამომჟღავნებას
ცტატას,ციტატას
ტაალაჰასი,ტალაჰასი
მღალინდუსტრიული,მაღალინდუსტრიული
უდიდებულაეობა,უდიდებულესობა
დარწწმუნებას,დარწმუნებას
დაბნელება,დაბნელება
საოები,ასოები
სახდდელები,სახდელები
მიშონმა,მიშონმა
ბბულგარელი,ბულგარელი
ჭერის,ჭერის
თანხმდეოდა,თანხმდებოდა
ბეძრნიშვილი,ბერძნიშვილი
ჩაკტეა,ჩაკეტა
კვადრატის,კვადრატის
ხმმაურია,ხმაურია
საზოგა,საზოგა
მიდევრული,მიმდევრული
მალებრანი,მალებრანში
კარსყუილ,კარსტული
გაშეშილებლ,გალეშილები
სილიანოვსკ,სილიანოვსკა
მონარქისტობით,მონარქისტობით
წინააღმდეგიო,წინააღმდეგიო
ჩაეგდო,ჩაეგდო
დეკლამატროი,დეკლამატორი
დინასტია,დინასტია
ფომპეუმსა,პომპეუსმა
დავიყვირე,დავიყვირე
კერპთაყვანისმცემლობის,კერპთაყვანისმცემლობის
სისტემურ,სისტემურ
რაციონში,რაციონში
კიინკსი,კინსკი
ჰაუფი,ჰაუფი
დაბნეულბას,დაბნეულობას
გამოყყნეებას,გამოყენებას
კონფრიქტი,კონფლიქტი
ფედერაციუ,ფედერაციულ
გეოტულზიმი,გეოტურიზმი
ლუბაშნი,ლიბანში
მქგიდას,მაგიდას
თვლებიტ,თვლებით
რუალ,რუალ
ჩრდილების,ჩრდილების
მოემატა,მოემატა
მოთხილამურეებსა,მოთხილამურეებსა
დვთმობცი,დავთმობდი
აგროკულტურუულ,აგროკულტურულ
ნაბიჯზე,ნაბიჯზე
მანკიერებსიადმი,მანკიერებისადმი
იიბერიელებს,იბერიელებს
ქნიქინის,ქინაქინის
აუტიზმიც,აუტიზმიც
ეზმახურა,ემსახურა
ვიკიპედდიაში,ვიკიპედიაში
ასწრებოდა,დასწრებოდა
უკავშირდება,უკავშირდება
ტიპუ,ტიპურ
დანიშნოს,დანიშნოს
ტაიპეი,ტაიპეი
ვერაფრი,ვერაფერი
მუნიციპალიტერები,მუნიციპალიტეტები
მოაგონდება,მოგაგონდება
ფოტისოი,ფოტიოსი
მმოძღვრებაამ,მოძღვრებამ
ტორიერი,ტორიჩელი
ოთთახთან,ოთახთან
ხოჟორნი,ხოჟორნი
ომები,ომები
მიკერძოებულოაბ,მიკერძოებულობა
ნაუსფრალით,ნასუფრალით
საბუთებც,საბუთებიც
გსგვეცუნა,გაგვეცინა
სამტი,სამიტი
ნაგაკაში,ნაგასაკში
რუსთავქალაქობა,რუსთავქალაქობა
არყს,არყის
ალექს,ალექს
სამსხაურია,სამსახურია
საქმისწარმოების,საქმისწარმოების
პატენტი,პატენტი
რაიხს,რაიხს
მმორანუდმი,მემორანდუმი
მაყალს,მაყალს
ნაჭრებიც,ნაჭრებიც
ბოლში,ბოლში
ჩაანსახის,ჩანასახის
მთთების,მთების
მიხედეტ,მიხედეთ
თესდნენ,თესდნენ
გადასახედი,გადასახედი
ნერვიულობამ,ნერვიულობამ
ჩარტოთ,ჩართოთ
ეღონა,ეღონა
ინდონეზზიამ,ინდონეზიამ
პრობლემებიც,პრობლემებიც
ჩემე,ჩემკენ
რესპუბლიკისა,რესპუბლიკისა
ბიოიგრაფიის,ბიოგრაფიის
რხტერი,რიხტერი
გოგშელიძე,გოგშელიძე
ზარანდიების,ზარანდიების
არკსი,პარკსი
გამჭრიახობაფ,გამჭრიახობაც
ხელოას,ხელობას
ვბეჭვე,ვბეჭვე
მტკიცებულებბაა,მტკიცებულებაა
უბრძანებია,უბრძანებია
აიხარს,იახსარს
ვალდიმიირ,ვალდიმირ
აუუპატიურა,გაუუპატიურა
გადაიდვეს,გადავიდეს
ჭოღანო,ჩოღანო
დამიპრენია,დამიპირებია
ატლანტკურ,ატლანტიკურ
საჰრობთ,საუბრობთ
ხრრმალმანცა,ხრმალმანცა
მოვალებამ,მოვალეობამ
სეგეპარა,შეგეპარა
იმპლანტოლოგი,იმპლანტოლოგი
ჩამოსვენებული,ჩამოსვენებული
მოომახისა,მონომახისა
ჭარლსტონი,ჩარლსტონი
მიჭერენ,მიჭერენ
ჰნიგოითთან,ნიგოითთან
ლოლაშვვილი,ლოლაშვილი
ჰემიქსელურ,ჰემიქსელურ
ოცსა,ოცსა
გაუნარი,გაუგონარი
ყვალთავამაც,ყვალთავამაც
დატოვა,დატოვა
ნურაფეერს,ნურაფერს
შრდენი,შარდენი
წყევლაა,წყევლა
ტიყობინება,იტყობინება
თანმიმდევრულად,თანმიმდევრულად
ზედამხედევლი,ზედამხედველი
მიივხედე,მივხედე
აპინძისა,ასპინძისა
ნხაჭავანი,ნახჭავანი
ამტი,ალტი
ოთსხი,ოთახი
ყიივჩაღებტან,ყივჩაღებთან
ილლი,ილი
ტეექს,ტექს
რელიგიისაა,რელიგიისა
შემდეგაც,შემდეგაც
გაიფარაო,გაიპარაო
ფინეზაური,ფინეზაური
თერმოდინამკია,თერმოდინამიკა
იიყვანენ,მიიყვანენ
ლიტურრგიის,ლიტურგიის
რადაიციულ,რადიაციულ
დრგებან,დარგებთან
ეპყრობოდნენ,ეპყრობოდნენ
